id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
3936	631.29000000	20230403121623	20230403122654	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	COROS		E	yyy	ClientsAmortizationSchedule	GR000000295218		CL000000013568	LT000000003903
3558	614.45000000	20230403104137	20230403105152	GuaranteeRequestDetail.asp --> CaricamentoPagina	#WF0600H	MGUANDALINI	GRACCEPTANCESEG	I	yyy	GuaranteeRequest	GR000000294877	9751FID	CL000000013485	LT000000003526
12419	537.85000000	20230412164038	20230412164936	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295288	9791FID	CL000000013548	LT000000012336
12418	537.09000000	20230412163818	20230412164715	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	MFACENDOLA	GRISTDISBURSEMENTCONFIRMATION	I	yyy	ClientsAmortizationSchedule	GR000000295182	9641FID	CL000000013367	LT000000012335
11449	505.72000000	20230412104204	20230412105029	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	ASERRA	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295446	9804FID	CL000000013568	LT000000011368
12466	491.73000000	20230412165832	20230412170644	GuaranteeRequestDetail.asp --> CaricamentoPagina	#WF0600J	MFACENDOLA	GRISTDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295182	9641FID	CL000000013367	LT000000012383
547	475.74000000	20230330111451	20230330112247	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0100	BANCACENTROQUILICI		E	yyy	GuaranteeRequest	GR000000294968	9791FID	CL000000013548	LT000000000542
546	460.06000000	20230330111501	20230330112241	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	BANCACENTROQUILICI		E	yyy	GuaranteeRequest	GR000000294968	9791FID	CL000000013548	LT000000000541
12458	456.47000000	20230412165843	20230412170620	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	MFACENDOLA	GRISTDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295182	9641FID	CL000000013367	LT000000012375
10032	415.31000000	20230407130248	20230407130943	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0100	MSALVATICI		E	yyy	GuaranteeRequest	GR000000295218	9804FID	CL000000013568	LT000000009961
10031	405.46000000	20230407130252	20230407130937	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	MSALVATICI		E	yyy	GuaranteeRequest	GR000000295218	9804FID	CL000000013568	LT000000009960
4019	336.82000000	20230403123738	20230403124315	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	FRINALDI	GRISTDISBURSEMENTCONFIRMATION	I	yyy	ClientsAmortizationSchedule	GR000000294992	9702FID	CL000000013412	LT000000003986
3557	320.63000000	20230403104629	20230403105149	GuaranteeRequestDetail.asp --> Sub ShowForm	#WF0600H	MGUANDALINI	GRACCEPTANCESEG	I	yyy	GuaranteeRequest	GR000000294877	9751FID	CL000000013485	LT000000003525
3949	318.71000000	20230403122200	20230403122719	GuaranteeRequestDetail.asp --> CaricamentoPagina	#WF0600J4	MSCARINZI	GRRAMDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000293830	9637FID	CL000000013351	LT000000003916
10936	314.82000000	20230411170202	20230411170717	GuaranteeRequestDetail.asp --> CaricamentoPagina	#WF0600J	FRINALDI	GRISTDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295107	9736FID	CL000000013481	LT000000010859
3556	308.18000000	20230403104636	20230403105144	GuaranteeRequestDetail.asp --> ShowForm-Send	#WF0600H	MGUANDALINI	GRACCEPTANCESEG	I	yyy	GuaranteeRequest	GR000000294877	9751FID	CL000000013485	LT000000003524
